               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.030369,           0.0093722,            0.027255,             0.91132,             0.83333,             0.92573,             0.61002,            0.017663,           0.0041389,             0.01116,           0.0074854,           0.0074854,           0.0074854
                 129,            0.029508,           0.0092921,            0.022645,             0.78727,             0.87499,             0.93674,               0.568,            0.018853,           0.0043221,            0.011929,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030117,            0.010701,            0.020101,             0.93417,             0.84459,             0.94958,             0.65184,            0.015692,           0.0041628,             0.01105,           0.0074458,           0.0074458,           0.0074458
                 131,            0.021729,            0.008124,            0.016881,              0.8411,               0.875,             0.91139,             0.51349,             0.02389,           0.0041094,            0.010851,            0.007426,            0.007426,            0.007426
                 132,            0.031589,            0.009253,            0.022802,             0.96415,             0.86097,             0.95867,              0.6818,            0.015675,           0.0040369,            0.011245,           0.0074062,           0.0074062,           0.0074062
                 133,            0.030406,           0.0083318,            0.027466,             0.92235,             0.90117,             0.96041,             0.62537,            0.017268,           0.0042458,            0.011167,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028597,           0.0085601,            0.027131,             0.96295,             0.85544,             0.96574,             0.69536,            0.013278,           0.0040121,            0.010654,           0.0073666,           0.0073666,           0.0073666
                 135,             0.02649,           0.0087841,             0.02263,             0.80855,             0.92741,             0.95625,             0.59058,            0.021361,           0.0042572,            0.012076,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028166,           0.0093732,            0.020044,             0.72161,             0.91667,             0.92621,             0.57086,            0.018743,            0.004344,            0.015404,            0.007327,            0.007327,            0.007327
                 137,            0.027933,           0.0083942,            0.019559,             0.78863,             0.95833,             0.94632,             0.56455,            0.023549,           0.0041418,            0.011531,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027684,           0.0099723,            0.020497,             0.91624,              0.8878,             0.96938,             0.70846,            0.016262,           0.0039635,           0.0084847,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027015,            0.010169,            0.020531,             0.92698,             0.89464,             0.96833,             0.59403,            0.020552,           0.0041656,           0.0078209,           0.0072676,           0.0072676,           0.0072676
                 140,            0.032361,           0.0090632,            0.020976,               0.937,             0.90076,             0.96938,             0.67141,            0.016301,           0.0040503,           0.0078735,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028521,           0.0092862,            0.019414,             0.86634,             0.92297,             0.96938,             0.66339,             0.01773,           0.0041237,           0.0095238,            0.007228,            0.007228,            0.007228
                 142,            0.031421,            0.010181,            0.021873,             0.86443,             0.90328,             0.96211,             0.59615,            0.022553,           0.0043306,            0.011215,           0.0072082,           0.0072082,           0.0072082
                 143,            0.030988,            0.010605,            0.021821,             0.90097,             0.87798,             0.96579,             0.72873,            0.015168,           0.0041885,            0.010952,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027519,           0.0086233,            0.019105,             0.75435,             0.91671,             0.96478,              0.4649,            0.026337,           0.0043306,            0.012872,           0.0071686,           0.0071686,           0.0071686
                 145,            0.034508,           0.0099027,            0.020493,             0.80957,             0.83527,             0.88455,             0.63417,            0.015793,           0.0041838,            0.013692,           0.0071488,           0.0071488,           0.0071488
                 146,            0.026346,              0.0103,            0.015973,             0.82846,             0.73201,             0.81952,             0.33876,            0.030338,           0.0043316,            0.021881,            0.007129,            0.007129,            0.007129
                 147,            0.026874,           0.0084447,            0.012817,             0.84986,             0.74193,             0.86649,             0.59104,            0.015351,           0.0041656,            0.016832,           0.0071092,           0.0071092,           0.0071092
                 148,            0.028373,           0.0094823,            0.019127,              0.7572,             0.67495,             0.89769,             0.47053,            0.028375,           0.0043383,            0.017839,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024186,           0.0086376,            0.015709,             0.77348,             0.73467,             0.85853,             0.60109,            0.015486,           0.0041876,            0.016887,           0.0070696,           0.0070696,           0.0070696
                 150,            0.031711,            0.008435,            0.017741,              0.8417,             0.72652,             0.89286,             0.62091,              0.0147,           0.0043936,            0.017551,           0.0070498,           0.0070498,           0.0070498
                 151,            0.030489,           0.0097873,            0.017424,             0.86794,             0.70538,             0.90725,             0.62357,            0.015351,           0.0043507,            0.014973,             0.00703,             0.00703,             0.00703
                 152,            0.032605,           0.0096589,             0.01934,             0.79427,             0.71425,             0.88114,             0.61526,            0.016127,           0.0045233,            0.013243,           0.0070102,           0.0070102,           0.0070102
                 153,            0.031749,           0.0090921,            0.022904,             0.82281,             0.84412,             0.94083,             0.62064,            0.018656,           0.0046825,            0.011243,           0.0069904,           0.0069904,           0.0069904
                 154,            0.029086,           0.0093098,            0.020957,             0.93823,             0.86532,             0.96032,              0.6666,             0.02022,           0.0044546,           0.0087639,           0.0069706,           0.0069706,           0.0069706
